,count,imdb_keys,movie_titles,average_domroi,domroilist,average_worldroi,worldroilist
architecture,3,"['tt1375666', 'tt3214286', 'tt5990474']","['Inception', 'Beyond the Brick: A LEGO Brickumentary', 'Columbus']",0.12771407291666667,"[0.82860121875, -0.8984690000000001, 0.45301]",1.3033347660714287,"[4.2220290125, -0.8984690000000001, 0.5864442857142858]"
time paradox,3,"['tt1877832', 'tt0816692', 'tt1340138']","['X-Men: Days of Future Past', 'Interstellar', 'Terminator: Genisys']",-0.03726233339524274,"[0.16960767, 0.13950238787878788, -0.4208970580645161]",2.522015679219616,"[2.739313875, 3.038662878787879, 1.7880702838709677]"
hiked skirt,3,"['tt1758810', 'tt1137450', 'tt1741273']","['The Snowman', 'Death Wish', 'Secret in Their Eyes']",-0.22216601031746033,"[-0.8094067142857143, 0.13390093333333333, 0.00900775]",0.4948775087301587,"[0.23503274285714285, 0.6191988333333334, 0.63040095]"
vietnam war,3,"['tt6294822', 'tt2473602', 'tt1673697']","['The Post', 'Get on Up', 'The Sapphires']",-0.023538150370370364,"[0.63806916, 0.01899783333333333, -0.7276814444444445]",1.3241406962962963,"[2.5949776, 0.11132893333333334, 1.2661155555555557]"
dead woman,3,"['tt1764183', 'tt1582507', 'tt1612774']","['Arbitrage', 'House at the End of the Street', 'Rubber']",0.8140472004830919,"[-0.3400355, 3.5814371014492754, -0.7992600000000001]",2.5798673997584545,"[1.98589275, 5.391881449275362, 0.36182800000000004]"
impalement,3,"['tt0829150', 'tt2515034', 'tt1748227']","['Dracula Untold', 'The Gunman', 'The Collection']",-0.41747395833333334,"[-0.20011600000000002, -0.733381275, -0.31892459999999995]",0.5000584678571428,"[2.1463103285714284, -0.535144325, -0.1109906]"
no survivors,3,"['tt1709143', 'tt2109184', 'tt2473682']","['The Last Days on Mars', 'Paranormal Activity 4', 'Paranormal Activity: The Marked Ones']",4.758271158490566,"[-0.9977279245283018, 9.780066999999999, 5.492474400000001]",14.58974206037736,"[-0.9753430188679244, 27.5635984, 17.1809708]"
male objectification',3,"['tt4779682', 'tt1981115', 'tt1124035']","['The Meg', 'Thor: The Dark World', 'The Ides of March']",0.32460900442924606,"[-0.18290032584269664, 0.37574759999999996, 0.7809797391304348]",2.5506881966856647,"[1.9748916573033708, 3.297350106666667, 2.3798228260869565]"
shower,3,"['tt1322312', 'tt1251743', 'tt1570989']","['Going the Distance', 'Salvation Boulevard', 'Tiny Furniture']",1.7983467812500005,"[-0.44361565625, -0.9948239999999999, 6.8334800000000016]",2.2835935625,"[0.3626246875, -0.9948239999999999, 7.48298]"
cold war,3,"['tt1638355', 'tt3682448', 'tt1340800']","['The Man From U.N.C.L.E.', 'Bridge of Spies', 'Tinker Tailor Soldier Spy']",0.1879165773015873,"[-0.3940652133333333, 0.80784385, 0.14997109523809524]",2.113497174126984,"[0.3993277866666667, 3.06245845, 2.8787052857142856]"
loss,3,"['tt4682786', 'tt1226232', 'tt6265828']","['Collateral Beauty', 'The Greatest', 'A Ghost Story']",4.60961549074074,"[-0.13844386111111112, -0.9806896666666668, 14.94798]",9.029049898148148,"[1.3696970277777778, -0.9803673333333334, 26.69782]"
retirement,3,"['tt1441951', 'tt1412386', 'tt2350496']","['Quartet', 'The Best Exotic Marigold Hotel', 'The Lunchbox']",1.9330501217468805,"[0.6716688181818182, 3.6383638999999994, 1.4891176470588234]",7.58871796969697,"[4.107175909090909, 12.463978, 6.195]"
loneliness,3,"['tt1798709', 'tt2893490', 'tt6265828']","['Her', 'Manglehorn', 'A Ghost Story']",4.697570195652173,"[0.11166308695652176, -0.9669325000000001, 14.94798]",8.997086221014493,"[1.0940789130434785, -0.80064025, 26.69782]"
africa,3,"['tt1825683', 'tt0918940', 'tt2304771']","['Black Panther', 'The Legend of Tarzan', 'Mandela: Long Walk to Freedom']",0.48055760656084656,"[2.50029783, -0.2964274388888889, -0.7621975714285715]",2.177882396349206,"[5.74129112, 0.9383445833333334, -0.1459885142857143]"
live action and animation,3,"['tt2017020', 'tt1615918', 'tt4575576']","['The Smurfs 2', 'Alvin and the Chipmunks: Chipwrecked', imdbcode
tt4575576    Christopher Robin
tt4575576      Winnie the Pooh
Name: movie, dtype: object]",,"[-0.3543837818181818, 0.6638423625]",,"[2.1686138454545456, 3.3636065375]"
hired killer,3,"['tt1712170', 'tt2679042', 'tt2911666']","['Alex Cross', 'Hitman: Agent 47', 'John Wick']",-0.061269814285714284,"[-0.2603310857142857, -0.35807285714285714, 0.4345945]",0.9671466333333333,"[0.012193114285714284, 1.3480800857142856, 1.5411667]"
prehistory,3,"['tt1667889', 'tt4244998', 'tt4701724']","['Ice Age: Continental Drift', 'Alpha', 'Early Man']",-0.1445187470519436,"[0.6981246631578948, -0.2970317843137255, -0.83464912]",3.039944111661507,"[8.26068565263158, 0.9534288823529412, -0.0942822]"
hand to hand combat,3,"['tt4912910', 'tt2908446', 'tt4560436']","['Mission: Impossibleâ\x80\x94Fallout', 'The Divergent Series: Insurgent', 'Mile 22']",0.1506579359891045,"[0.2368488988764045, 0.18344610909090908, 0.0316788]",2.0001891819835595,"[3.4239132134831465, 1.6825080181818182, 0.8941463142857143]"
tough woman,3,"['tt1509767', 'tt1598828', 'tt1764183']","['The Three Musketeers', 'One for the Money', 'Arbitrage']",-0.4948989783068783,"[-0.7735787444444444, -0.3710826904761905, -0.3400355]",0.8006434595238096,"[0.5541990333333333, -0.13816140476190475, 1.98589275]"
undead,3,"['tt1611224', 'tt1588173', 'tt1134854']","['Abraham Lincoln: Vampire Hunter', 'Warm Bodies', ""George A. Romero's Survival of the Dead""]",-0.06908278694885357,"[-0.4441609037037037, 1.2126887333333334, -0.9757761904761904]",0.9661652105820103,"[1.0368848888888889, 2.837386933333333, -0.9757761904761904]"
brunette,3,"['tt0451279', 'tt5941692', 'tt1996264']","['Wonder Woman', 'Miss Bala', 'For a Good Time, Call']",0.740979023006536,"[1.75042272, -0.00013153333333333332, 0.4726458823529412]",1.7096891615686272,"[4.47422252, 0.0241532, 0.6306917647058824]"
