,0,1
tt0848228,"['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo', 'Chris Hemsworth', 'Scarlett Johansson', 'Jeremy Renner', 'Tom Hiddleston', 'Clark Gregg', 'Cobie Smulders', 'Stellan Skarsgård', 'Samuel L. Jackson', 'Gwyneth Paltrow', 'Paul Bettany', 'Alexis Denisof', 'Tina Benko']","['nm0000375', 'nm0262635', 'nm0749263', 'nm1165110', 'nm0424060', 'nm0719637', 'nm1089991', 'nm0163988', 'nm1130627', 'nm0001745', 'nm0000168', 'nm0000569', 'nm0079273', 'nm0219206', 'nm0071416']"
tt0770828,"['Henry Cavill', 'Amy Adams', 'Michael Shannon', 'Diane Lane', 'Russell Crowe', 'Antje Traue', 'Harry Lennix', 'Richard Schiff', 'Christopher Meloni', 'Kevin Costner', 'Ayelet Zurer', 'Laurence Fishburne', 'Dylan Sprayberry', 'Cooper Timberline', 'Richard Cetrone']","['nm0147147', 'nm0010736', 'nm0788335', 'nm0000178', 'nm0000128', 'nm1662644', 'nm0502015', 'nm0771493', 'nm0005221', 'nm0000126', 'nm0957909', 'nm0000401', 'nm2876098', 'nm4742128', 'nm0149150']"
tt0948470,"['Andrew Garfield', 'Emma Stone', 'Rhys Ifans', 'Denis Leary', 'Martin Sheen', 'Sally Field', 'Irrfan Khan', 'Campbell Scott', 'Embeth Davidtz', 'Chris Zylka', 'Max Charles', 'C. Thomas Howell', 'Jake Keiffer', 'Kari Coleman', 'Michael Barra']","['nm1940449', 'nm1297015', 'nm0406975', 'nm0001459', 'nm0000640', 'nm0000398', 'nm0451234', 'nm0001714', 'nm0001110', 'nm3024712', 'nm1934618', 'nm0001367', 'nm4223197', 'nm0171096', 'nm2683982']"
tt1440129,"['Taylor Kitsch', 'Alexander Skarsgård', 'Rihanna', 'Brooklyn Decker', 'Tadanobu Asano', 'Hamish Linklater', 'Liam Neeson', 'Peter MacNicol', 'John Tui', 'Jesse Plemons', 'Gregory D. Gadson', 'Jerry Ferrara', 'Adam Godley', 'Rico McClinton', 'Joji Yoshida']","['nm2018237', 'nm0002907', 'nm1982597', 'nm2395937', 'nm0038355', 'nm0512934', 'nm0000553', 'nm0001493', 'nm1732270', 'nm0687146', 'nm4748971', 'nm1483196', 'nm0324134', 'nm0565880', 'nm0948885']"
tt3371366,"['Mark Wahlberg', 'Anthony Hopkins', 'Josh Duhamel', 'Laura Haddock', 'Santiago Cabrera', 'Isabela Merced', 'Jerrod Carmichael', 'Stanley Tucci', 'Liam Garrigan', 'Martin McCreadie', 'Rob Witcomb', 'Marcus Fraser', 'John Hollingworth', 'Daniel Adegboyega', 'Trent Seven']","['nm0000242', 'nm0000164', 'nm0241049', 'nm2652095', 'nm1085051', 'nm5097044', 'nm4273797', 'nm0001804', 'nm1389482', 'nm6458156', 'nm3792905', 'nm6183416', 'nm3227473', 'nm4089182', 'nm5008220']"
tt0369610,"['Chris Pratt', 'Bryce Dallas Howard', 'Irrfan Khan', ""Vincent D'Onofrio"", 'Ty Simpkins', 'Nick Robinson', 'Jake Johnson', 'Omar Sy', 'BD Wong', 'Judy Greer', 'Lauren Lapkus', 'Brian Tee', 'Katie McGrath', 'Andy Buckley', 'Eric Edelstein']","['nm0695435', 'nm0397171', 'nm0451234', 'nm0000352', 'nm1339223', 'nm3538718', 'nm2159926', 'nm1082477', 'nm0000703', 'nm0339460', 'nm1944055', 'nm0974575', 'nm2692146', 'nm2952467', 'nm1468061']"
tt1409024,"['Will Smith', 'Tommy Lee Jones', 'Josh Brolin', 'Jemaine Clement', 'Emma Thompson', 'Michael Stuhlbarg', 'Mike Colter', 'Nicole Scherzinger', 'Michael Chernus', 'Alice Eve', 'David Rasche', 'Keone Young', 'Bill Hader', 'Cayen Martin', 'Clarke Thorell']","['nm0000226', 'nm0000169', 'nm0000982', 'nm1318596', 'nm0000668', 'nm0836121', 'nm1591496', 'nm0970122', 'nm1985974', 'nm1404408', 'nm0711058', 'nm0949775', 'nm0352778', 'nm5055414', 'nm0861209']"
tt2109248,"['Mark Wahlberg', 'Stanley Tucci', 'Kelsey Grammer', 'Nicola Peltz', 'Jack Reynor', 'Titus Welliver', 'Sophia Myles', 'Bingbing Li', 'T.J. Miller', 'James Bachman', 'Thomas Lennon', 'Charles Parnell', 'Erika Fong', 'Michael Collins', 'Geng Han']","['nm0000242', 'nm0001804', 'nm0001288', 'nm2443758', 'nm2930503', 'nm0920038', 'nm0617009', 'nm0508356', 'nm2554352', 'nm0045480', 'nm0502073', 'nm0663174', 'nm3783063', 'nm0172546', 'nm3868381']"
tt0955308,"['Russell Crowe', 'Cate Blanchett', 'Max von Sydow', 'William Hurt', 'Mark Strong', 'Oscar Isaac', 'Danny Huston', 'Eileen Atkins', 'Mark Addy', 'Matthew Macfadyen', 'Kevin Durand', 'Scott Grimes', 'Alan Doyle', 'Douglas Hodge', 'Léa Seydoux']","['nm0000128', 'nm0000949', 'nm0001884', 'nm0000458', 'nm0835016', 'nm1209966', 'nm0396812', 'nm0040586', 'nm0004692', 'nm0532193', 'nm0243806', 'nm0342241', 'nm0236269', 'nm0388061', 'nm2244205']"
tt1825683,"['Chadwick Boseman', 'Michael B. Jordan', ""Lupita Nyong'o"", 'Danai Gurira', 'Martin Freeman', 'Daniel Kaluuya', 'Letitia Wright', 'Winston Duke', 'Sterling K. Brown', 'Angela Bassett', 'Forest Whitaker', 'Andy Serkis', 'Florence Kasumba', 'John Kani', 'David S. Lee']","['nm1569276', 'nm0430107', 'nm2143282', 'nm1775091', 'nm0293509', 'nm2257207', 'nm4004793', 'nm6328300', 'nm1250791', 'nm0000291', 'nm0001845', 'nm0785227', 'nm0441042', 'nm0434712', 'nm1605085']"
tt3606756,"['Craig T. Nelson', 'Holly Hunter', 'Sarah Vowell', 'Huck Milner', 'Catherine Keener', 'Eli Fucile', 'Bob Odenkirk', 'Samuel L. Jackson', 'Michael Bird', 'Sophia Bush', 'Brad Bird', 'Phil LaMarr', 'Isabella Rossellini', 'Adam Gates', 'Jonathan Banks']","['nm0005266', 'nm0000456', 'nm1102970', 'nm9133740', 'nm0001416', 'nm1747568', 'nm0644022', 'nm0000168', 'nm1520974', 'nm0124208', 'nm0083348', 'nm0482851', 'nm0000618', 'nm5108425', 'nm0052186']"
