,0,1,2,3,4,5,6
tt1300854,['Shane Black'],nm0000948,"['Drew Pearce (screenplay by)', 'Shane Black (screenplay by)']","['nm1510800', 'nm0000948', 'edits#writers']","['Robert Downey Jr.', 'Guy Pearce', 'Gwyneth Paltrow']","['nm0000375', 'nm0001602', 'nm0000569']",62
tt1014759,['Tim Burton'],nm0000318,"['Linda Woolverton (screenplay)', 'Lewis Carroll (books)']","['nm0941314', 'nm0140902']","['Mia Wasikowska', 'Johnny Depp', 'Helena Bonham Carter']","['nm1985859', 'nm0000136', 'nm0000307']",53
tt1074638,['Sam Mendes'],nm0005222,"['Neal Purvis', 'Robert Wade']","['nm0701031', 'nm0905498', 'edits#writers']","['Daniel Craig', 'Javier Bardem', 'Naomie Harris']","['nm0185819', 'nm0000849', 'nm0365140']",81
tt1453405,['Dan Scanlon'],nm0768959,"['Dan Scanlon (story by)', 'Daniel Gerson (story by)']","['nm0768959', 'nm0314870', 'edits#writers']","['Billy Crystal', 'John Goodman', 'Steve Buscemi']","['nm0000345', 'nm0000422', 'nm0000114']",65
tt1623205,['Sam Raimi'],nm0000600,"['Mitchell Kapner (screenplay)', 'David Lindsay-Abaire (screenplay)']","['nm0438449', 'nm1865755', 'edits#writers']","['James Franco', 'Michelle Williams', 'Rachel Weisz']","['nm0290556', 'nm0931329', 'nm0001838']",44
tt1877832,['Bryan Singer'],nm0001741,"['Simon Kinberg (screenplay by)', 'Jane Goldman (story by)']","['nm1334526', 'nm0963359', 'edits#writers']","['Patrick Stewart', 'Ian McKellen', 'Hugh Jackman']","['nm0001772', 'nm0005212', 'nm0413168']",75
tt1872181,['Marc Webb'],nm1989536,"['Alex Kurtzman (screenplay)', 'Roberto Orci (screenplay)']","['nm0476064', 'nm0649460', 'edits#writers']","['Andrew Garfield', 'Emma Stone', 'Jamie Foxx']","['nm1940449', 'nm1297015', 'nm0004937']",53
tt1216475,"['John Lasseter', 'Bradford Lewis (co-director) (as Brad Lewis)']",nm0005124,"['John Lasseter (original story by)', 'Bradford Lewis (original story by) (as Brad Lewis)']","['nm0005124', 'nm0506977', 'edits#writers']","['Owen Wilson', 'Larry the Cable Guy', 'Michael Caine']","['nm0005562', 'nm1249256', 'nm0000323']",57
tt1104001,['Joseph Kosinski'],nm2676052,"['Edward Kitsis (screenplay)', 'Adam Horowitz (screenplay)']","['nm0457736', 'nm0395271', 'edits#writers']","['Jeff Bridges', 'Garrett Hedlund', 'Olivia Wilde']","['nm0000313', 'nm1330560', 'nm1312575']",49
tt4123430,['David Yates'],nm0946734,"['J.K. Rowling', 'J.K. Rowling (based upon characters created by)']","['nm0746830', 'nm0746830']","['Eddie Redmayne', 'Katherine Waterston', 'Dan Fogler']","['nm1519666', 'nm2239702', 'nm0283945']",52
