,count,imdb_keys,movie_titles,average_domroi,average_worldroi
historically inaccurate,2,"['tt1853728', 'tt4701724']","['Django Unchained', 'Early Man']",-0.10329738999999999,1.702600515
death of father,2,"['tt2802144', 'tt1055292']","['Kingsman: The Secret Service', 'Life as We Know It']",0.38454164697648374,2.545185076987682
blacksmith,2,"['tt1258972', 'tt1376195']","['The Man with the Iron Fists', 'Gunless']",-0.4557296262626263,-0.24289969292929298
skateboarding,2,"['tt1293847', 'tt1907639']","['xXx: Return of Xander Cage', 'Hardflip']",-0.6875246882352941,1.077974994117647
cross country,2,"['tt2369135', 'tt1694020']","['Need for Speed', 'The Guilt Trip']",-0.20575786553030304,0.9871653871212123
ponzi scheme,2,"['tt0471042', 'tt2215285']","['Tower Heist', ""Tyler Perry's Madea's Witness Protection""]",1.1004285205882354,1.5586130338235296
blonde girl',2,"['tt3450958', 'tt0084516']","['War for the Planet of the Apes', 'Poltergeist']",0.16066021334586467,1.977830435432331
close up of breasts,2,"['tt1272878', 'tt0070379']","['2 Guns', 'Season of the Witch']",-0.069885387704918,1.2250908196721313
fictional tv show,2,"['tt1126618', 'tt6107548']","['Morning Glory', 'Late Night']",-0.581565225,-0.2217735
hobbit,2,"['tt0903624', 'tt2310332']","['The Hobbit: An Unexpected Journey', 'The Hobbit: The Battle of the Five Armies']",0.116246712,2.925162378
farmhouse,2,"['tt2752772', 'tt1179933']","['Sinister 2', '10 Cloverfield Lane']",7.595347650000001,12.53385345
"""reference to guns n' roses""",2,"['tt1633356', 'tt0810922']","['Shark Night 3D', 'Take Me Home Tonight']",-0.4401393610526316,-0.4230726242105263
real life husband and wife play husband and wife,2,"['tt3707106', 'tt1247644']","['By the Sea', 'Breaking Upwards']",2.866528166666667,2.9462603166666668
bad luck,2,"['tt3164256', 'tt1573072']","['Rock the Kasbah', 'Housefull']",-0.8407142359735973,0.039916321122112186
sexual attraction,2,"['tt2191701', 'tt1800241']","['Grown Ups 2', 'American Hustle']",1.71190086875,3.767377475
survivor',2,"['tt1454468', 'tt2304933']","['Gravity', 'The 5th Wave']",0.705257273923445,3.618128391626795
woman wears a bra and panties',2,"['tt1674784', 'tt1778304']","['Trespass', 'Paranormal Activity 3']",9.403120928571429,19.71522057142857
year 1993,2,"['tt1133985', 'tt2309260']","['Green Lantern', 'The Gallows']",113.11355293,207.83120873
little boy,2,"['tt2768766', 'tt3183630']","['Faith Connections', 'O Menino e o Mundo']",-0.8622382727272728,-0.7107502727272728
wedding',2,"['tt4776998', 'tt2350496']","['The Promise', 'The Lunchbox']",0.2902493124183006,2.6561189833333336
vegan,2,"['tt1959490', 'tt1106860']","['Noah', 'Ca$h']",-0.6074484901098901,0.36036312912087903
amputation,2,"['tt1124037', 'tt1334260']","['Free State of Jones', 'Never Let Me Go']",-0.7107445733333333,-0.3951702133333333
arabia,2,"['tt2980210', 'tt3576728']","['A Hologram for the King', 'Bilal: A New Breed of Hero']",-0.931638630952381,-0.8199613023809523
brazil,2,"['tt5001130', 'tt3742378']","['Time to Choose', 'Que Horas Ela Volta?']",-0.8387505238095239,0.3579432261904761
long distance relationship,2,"['tt1322312', 'tt1758692']","['Going the Distance', 'Like Crazy']",6.068974171875,7.1381123437500005
chick,2,"['tt1815862', 'tt1411704']","['After Earth', 'Hop']",0.09059717710622711,1.464588887973138
beach house,2,"['tt1139328', 'tt2203939']","['The Ghost Writer', 'The Other Woman']",0.22157379027777774,2.167028701388889
whore,2,"['tt3766354', 'tt1707386']","['The Equalizer 2', 'Les Miserables']",0.807576005994006,3.638009049350649
cauterizing a wound,2,"['tt1663202', 'tt1334553']","['The Revenant', 'The Perfect Host']",-0.2954776518518518,0.9996390629629632
jacqueline kennedy character,2,"['tt1327773', 'tt2345112']","[""Lee Daniels' The Butler"", 'Parkland']",0.9759402000000001,2.031242616666667
dead mother,2,"['tt5726086', 'tt7158430']","['Insidious: The Last Key', 'Hearts Beat Loud']",2.9838299999999998,7.999519900000001
sister sister relationship',2,"['tt1374989', 'tt1305583']","['Pride and Prejudice and Zombies', 'Our Family Wedding']",-0.0818240535714286,0.06177485714285713
topless female nudity',2,"['tt1649419', 'tt3235888']","['The Impossible', 'It Follows']",2.906267775,6.9325713250000005
agoraphobia,2,"['tt4009278', 'tt1822311']","['Shut In', 'Sparrows Dance']",-0.6475489642857142,-0.42453246428571423
old testament,2,"['tt1528100', 'tt1959490']","['Exodus: Gods and Kings', 'Noah']",-0.37857437225274726,1.3153086755494505
railway station,2,"['tt0970179', 'tt1458175']","['Hugo', 'The Next Three Days']",-0.4423432972222222,0.6210646666666666
swimming underwater,2,"['tt1220634', 'tt1792647']","['Resident Evil: Afterlife', 'Cirque du Soleil: Worlds Away']",-0.2268856643478261,2.133076283478261
one liner,2,"['tt2527336', 'tt4481514']","['Star Wars Ep. VIII: The Last Jedi', 'The House']",0.298010372555205,1.4667534938880127
psychiatric ward,2,"['tt0804497', 'tt7153766']","[""It's Kind of a Funny Story"", 'Unsane']",1.9610747499999999,4.162869708333333
man in a wheelchair,2,"['tt7334528', 'tt3099498']","['Uncle Drew', 'Tusk']",0.4833845555555556,0.6070134722222222
woman in underwear,2,"['tt1606389', 'tt1183672']","['The Vow', 'La fille du RER']",1.0951317777777778,2.305200611111111
interracial friendship,2,"['tt3717490', 'tt1621045']","['Power Rangers', 'Think Like a Man']",3.1701520833333334,4.3177883
megacorporation',2,"['tt4046784', 'tt0379786']","['Maze Runner: The Scorch Trials', 'Serenity']",-0.15940998524590164,1.7729648586885247
motel room,2,"['tt2083383', 'tt1588334']","['Trouble with the Curve', 'Jeff, Who Lives at Home']",-0.48850255833333334,-0.36610270833333336
sword and fantasy,2,"['tt0848537', 'tt1121096']","['Epic', 'Seventh Son']",-0.3691129847368421,0.8869983471052632
false identity,2,"['tt2717822', 'tt1193631']","['Blackhat', 'Step Up 3D']",-0.2361440452380952,1.9052829309523809
fable,2,"['tt1150947', 'tt4056738']","['Lovely, Still', 'Do You Believe?']",1.835712921739131,2.138036308695652
global warming,2,"['tt1981128', 'tt6053438']","['Geostorm', 'First Reformed']",-0.3388912,0.6575189021428571
day of the dead,2,"['tt2262227', 'tt2380307']","['The Book of Life', 'Remember Me']",0.09739793,1.7423316800000002
scrat character,2,"['tt3416828', 'tt1667889']","['Ice Age: Collision Course', 'Ice Age: Continental Drift']",0.15412427443609025,5.545374645363409
stripping,2,"['tt6359956', 'tt1270262']","['A Bad Moms Christmas', ""The Devil's Double""]",0.3233320146783845,1.4367142791697836
loss of friend,2,"['tt1809398', 'tt5580266']","['Unbroken', 'The Hate U Give']",0.5355979866220736,1.0202468819397992
arizona territory,2,"['tt0401729', 'tt2557490']","['John Carter', 'A Million Ways to Die in The West']",-0.3331539756818182,0.5988739625
female star appears nude,2,"['tt0458481', 'tt0838247']","['Sin City: A Dame to Kill For', 'After.Life']",-0.8821045162393162,-0.4115317709401709
nurse',2,"['tt1441953', 'tt6472976']","['Testament of Youth', 'Five Feet Apart']",2.357485428571428,5.082649235714286
police car,2,"['tt1535612', 'tt3813310']","['The Son of No One', 'Cop Car']",-0.9855221333333334,-0.9473482666666666
miniature person,2,"['tt0848537', 'tt1568921']","['Epic', 'Kari gurashi no Arietti']",-0.04517811173913044,3.6073656180434783
anthology,2,"['tt0082517', 'tt1241226']","['The Future', 'Locker 13']",-0.7098423333333335,-0.3745863333333334
female psychopath,2,"['tt6063050', 'tt5649108']","['Acrimony', 'Thoroughbreds']",0.3959879,0.48442609999999997
dinner party,2,"['tt2400463', 'tt1334553']","['The Invitation', 'The Perfect Host']",-0.859749,-0.7967885
twin brother,2,"['tt3469046', 'tt1151359']","['Despicable Me 3', 'Leaves of Grass']",0.7680545555555556,5.9029365
fox,2,"['tt2948356', 'tt5117670']","['Zootopia', 'Peter Rabbit']",1.2899017566666666,5.86946349
"""april o'neil character""",2,"['tt3949660', 'tt0100758']","['Teenage Mutant Ninja Turtles: Out of the Shadows', 'Teenage Mutant Ninja Turtles']",0.06871383451851854,1.8486426234074074
buddy movie,2,"['tt1386588', 'tt1232829']","['The Other Guys', '21 Jump Street']",1.244286401904762,2.2691160285714282
cannibal,2,"['tt1037705', 'tt1480658']","['The Book of Eli', 'Eddie: The Sleepwalking Cannibal']",-0.4066980241071428,-0.007224536607142784
poem,2,"['tt1486192', 'tt1405500']","['The Raven', 'For Colored Girls']",0.20617752747252746,0.4936836254578755
cake,2,"['tt1055292', 'tt1266029']","['Life as We Know It', 'Nowhere Boy']",0.08265790789473687,2.4420054868421057
female in a shower,2,"['tt1564367', 'tt1352824']","['Just Go With It', 'Chloe']",-0.23779528028846153,0.7986369562500001
countryside,2,"['tt3411444', 'tt5598102']","['Ferdinand', 'Visages villages']",-0.14355706306306304,2.3134643063063063
cheating',2,"['tt1289419', 'tt3277624']","['N-Secure', 'Creative Control']",-0.15735425000000003,-0.15735425000000003
overprotective father,2,"['tt1690953', 'tt1379182']","['Despicable Me 2', 'Kynodontas']",1.5921453347523222,7.541917258126933
long hair,2,"['tt1365519', 'tt9024106']","['Tomb Raider', 'Unplanned']",0.8325839888888888,2.0282878666666666
berlin germany,2,"['tt3682448', 'tt2199543']","['Bridge of Spies', 'Praia do Futuro']",-0.09350057499999997,1.126313975
birmingham england,2,"['tt2609912', 'tt2692904']","['Kevin Hart: Let Me Explain', 'Locke']",5.7914717,5.9875485
old friends reunited,2,"['tt1375670', 'tt2763304']","['Grown Ups', 'T2: Trainspotting']",0.14673024,1.9840245888888888
best friend',2,"['tt2023453', 'tt1659337']","['Diary of a Wimpy Kid: Dog Days', 'The Perks of Being a Wallflower']",0.7962543041958041,2.02711661013986
palestinian,2,"['tt3402236', 'tt1077262']","['Murder on the Orient Express', 'Ajami']",0.24571625454545457,3.505300090909091
cartel,2,"['tt5052474', 'tt1702425']","['Sicario: Day of the Soldado', 'Casa de mi Padre']",0.2076833452380952,0.7879868952380951
mind game,2,"['tt2024469', 'tt0387564']","['Non-Stop', 'Jigsaw']",1.8200632,6.346090350000001
snob,2,"['tt5816682', 'tt2334873']","['Victoria and Abdul', 'Blue Jasmine']",0.45755760714285715,3.484196837301587
thin attractive woman,2,"['tt1628841', 'tt1270797']","['Independence Day: Resurgence', 'Venom']",0.2328662355276907,3.843583411938349
stockbroker,2,"['tt0993846', 'tt1027718']","['The Wolf of Wall Street', 'Wall Street 2: Money Never Sleeps']",-0.04067784428571425,1.9310064914285714
playing piano,2,"['tt1727824', 'tt1682180']","['Bohemian Rhapsody', 'Stoker']",1.0373575325757576,7.637685090151516
santa claus,2,"['tt1430607', 'tt3850590']","['Arthur Christmas', 'Krampus']",0.6974911411764706,1.9403020647058826
accidental death,2,"['tt1563738', 'tt0935075']","['One Day', 'Rabbit Hole']",-0.3156351666666667,1.5927931333333334
heroism,2,"['tt1843866', 'tt1588337']","['Captain America: The Winter Soldier', 'Des Hommes et Des Dieux']",0.1594267411764706,5.727534526470588
addiction,2,"['tt1226837', 'tt5734576']","['Beautiful Boy', 'The Possession of Hannah Grace']",0.3890431733333333,2.826077396666666
documentary filmmaker,2,"['tt1302067', 'tt1791682']","['Yogi Bear', ""While We're Young""]",0.0056408187499999984,1.1550332125
self defense,2,"['tt1598828', 'tt1289406']","['One for the Money', 'Harry Brown']",-0.5609741534572733,0.2544539551532942
trip,2,"['tt1694020', 'tt3622592']","['The Guilt Trip', 'Paper Towns']",0.7975236874999999,3.076620258333333
sexuality,2,"['tt1956620', 'tt3072636']","['Sex Tape', 'The Past is a Grotesque Animal']",-0.41792658749999995,0.6761488625
invisibility,2,"['tt1502712', 'tt2788732']","['Fantastic Four', 'Peteâ\x80\x99s Dragon']",-0.1797680294871795,0.7591329586538462
voyeur',2,"['tt0884732', 'tt6722030']","['The Wedding Ringer', 'The Intruder']",2.5948029347826087,2.9932277201086954
loss of child,2,"['tt1213641', 'tt1798243']","['First Man', 'Rudderless']",-0.6199286916666666,-0.06657955833333334
modeling,2,"['tt1608290', 'tt1032817']","['Zoolander 2', 'Middle of Nowhere']",-0.11949807,0.14550193
lying,2,"['tt0491203', 'tt2609912']","['Tulip Fever', 'Kevin Hart: Let Me Explain']",5.4979229,5.60130636
swat team,2,"['tt1430612', 'tt1899353']","['Brick Mansions', 'Serbuan maut']",1.2301940892857144,4.537187376623376
1960s',2,"['tt5580390', 'tt1371155']","['The Shape of Water', 'Made in Dagenham']",0.7058819727564102,4.998039019230768
wikileaks,2,"['tt3774114', 'tt1837703']","['Snowden', 'The Fifth Estate']",-0.7215445792307693,-0.5278413584615385
ballerina,2,"['tt2261287', 'tt0947798']","['Ballerina', 'Black Swan']",3.4779426282051285,13.355907791025638
mechanic,2,"['tt3202120', 'tt1366338']","['Barbecue', 'Lowriders']",2.3733572820960704,2.390337311135371
cross,2,"['tt1251743', 'tt4902904']","['Salvation Boulevard', 'The Resurrection of Gavin Stone']",-0.421464,-0.421464
sword fight,2,"['tt1790809', 'tt1258972']","['Pirates of the Caribbean: Dead Men Tell No Tales', 'The Man with the Iron Fists']",-0.10373567536231887,1.4475339557971014
bicycling',2,"['tt3850214', 'tt3183630']","['Dope', 'O Menino e o Mundo']",0.37994114285714287,0.5803120714285714
van,2,"['tt3722070', 'tt1991245']","['The Lady in the Van', 'Chernobyl Diaries']",8.894917916666667,23.732569083333335
surgery,2,"['tt2893490', 'tt6499752']","['Manglehorn', 'Upgrade']",1.0127220833333332,1.8585607083333335
six word title,2,"['tt1391137', 'tt1855401']","['Why Did I Get Married Too?', ""Tim and Eric's Billion Dollar Movie""]",0.5359689666666666,0.5580520083333333
neil armstrong character,2,"['tt1409024', 'tt1399103']","['Men in Black 3', 'Transformers: Dark of the Moon']",0.31989306231365533,3.4029409221228386
concert footage,2,"['tt2515086', 'tt2396566']","['One Direction: This is Us', '20 Feet From Stardom']",2.9167937,5.3733223
legion,2,"['tt5114356', 'tt1020558']","['Legion', 'Centurion']",-0.2234179230769231,0.5637498179487179
reference to led zeppelin,2,"['tt6811018', 'tt2396566']","['The Kid Who Would Be King', '20 Feet From Stardom']",1.6154198305084746,2.186474067796611
policeman,2,"['tt1747958', 'tt1753383']","['Blood Ties', 'A Dogâ\x80\x99s Purpose']",0.28725456923076925,3.1296624807692304
swearing,2,"['tt4438848', 'tt7961060']","['Neighbors 2: Sorority Rising', 'Dragon Ball Super: Broly']",1.5774497983193276,7.774136476470589
construction worker,2,"['tt1490017', 'tt2183034']","['The Lego Movie', 'Earth to Echo']",2.6456999064102567,4.436509451282051
aquarium,2,"['tt0369610', 'tt4257926']","['Jurassic World', 'Miracles from Heaven']",2.89018239177102,5.6729591184257595
supervillain,2,"['tt4154756', 'tt7424200']","['Avengers: Infinity War', 'Teen Titans Go! To The Movies']",1.6208709366666667,4.9945866500000005
company,2,"['tt2358925', 'tt4287320']","['Unfinished Business', 'The Circle']",-0.284622573015873,0.3179906015873016
latex gloves,2,"['tt2978462', 'tt1598822']","['Dolphin Tale 2', 'New Yearâ\x80\x99s Eve']",0.6326094155982906,2.6271622254273503
reference to harry potter,2,"['tt2361509', 'tt2994190']","['The Intern', 'Camp X-Ray']",-0.04802310000000004,1.514472875
military',2,"['tt1243974', 'tt2776878']","['Aloha', 'Thank You for Your Service']",-0.4785283581081081,-0.40729830270270273
mother,2,"['tt5664636', 'tt1640484']","['Goosebumps 2: Haunted Halloween', 'Jumping the Broom']",2.3310613,3.058349757142857
immortality,2,"['tt1735898', 'tt1637688']","['Snow White and the Huntsman', 'In Time']",-0.0072306836134453795,2.5381036092436977
reference to the warriors,2,"['tt2191701', 'tt2848292']","['Grown Ups 2', 'Pitch Perfect 2']",3.012949488146552,5.5029585931034495
gender in title,2,"['tt1568338', 'tt4537896']","['Man on a Ledge', 'White Boy Rick']",-0.37825278333333334,0.023197811904761903
dinner,2,"['tt1742650', 'tt2209418']","[""I Don't Know How She Does It"", 'Before Midnight']",0.5530008750000001,3.3852063125000003
unfaithfulness,2,"['tt1121977', 'tt2389182']","['Mother and Child', 'Cheap Thrills']",-0.6235579285714286,-0.23593864285714286
cop,2,"['tt1650062', 'tt1385867']","['Super 8', 'Cop Out']",0.8764672089189188,2.3352667743243245
buddy,2,"['tt1386588', 'tt0075488']","['The Other Guys', 'CHiPS']",-0.03189707,0.31848818999999995
police',2,"['tt1712170', 'tt1135084']","['Alex Cross', 'Takers']",0.27209570714285713,0.6090226196428572
fantasy world,2,"['tt3332064', 'tt0848537']","['Pan', 'Epic']",-0.34544552333333334,0.8190587816666667
blindness,2,"['tt1037705', 'tt2304459']","['The Book of Eli', '23 Blast']",-0.13268838125000001,0.26678510624999996
teenager',2,"['tt1817771', 'tt1303803']","['Freaks of Nature', 'Standing Ovation']",-0.9514422002164502,-0.9514422002164502
survivor,2,"['tt2660888', 'tt0454876']","['Star Trek Beyond', 'Life of Pi']",-0.04990090382882883,2.494706948536036
teacher student sex,2,"['tt1232200', 'tt2404311']","[""That's My Boy"", 'The Family']",-0.06354657898550728,0.35639801666666665
drug rehabilitation,2,"['tt1189340', 'tt1226837']","['The Lincoln Lawyer', 'Beautiful Boy']",-0.12218965999999998,0.34994205500000003
expedition,2,"['tt2798920', 'tt0881320']","['Annihilation', 'Sanctum']",-0.3156117939393939,1.207505406060606
hip hop,2,"['tt1398426', 'tt3850214']","['Straight Outta Compton', 'Dope']",3.128994017857143,3.909755446428571
iranian,2,"['tt1024648', 'tt1684628']","['Argo', 'Circumstance']",0.7806658826466916,2.0849088926342074
ghost story,2,"['tt2554274', 'tt5325452']","['Crimson Peak', 'Tyler Perryâ\x80\x99s Boo! A Madea Halloween']",1.1127978477272729,1.5116754295454546
taking off shirt,2,"['tt1232200', 'tt1666186']","[""That's My Boy"", 'Vampires Suck']",0.23767750434782609,1.5407137
man dressed as a woman,2,"['tt1109624', 'tt0461336']","['Paddington', 'Salvando al Soldado Perez']",-0.15142215959595956,2.389346487878788
harry potter,2,"['tt1680310', 'tt1571403']","['Harry Potter and the Deathly Hallows: Part II', 'Harry Potter and the Deathly Hallows: Part I']",1.7092989,8.2084989
swashbuckler,2,"['tt1790809', 'tt1430626']","['Pirates of the Caribbean: Dead Men Tell No Tales', 'The Pirates! Band of Misfits']",-0.3425890450592886,1.951236825494071
train derailment,2,"['tt6565702', 'tt1590193']","['Dark Phoenix', 'The Commuter']",-0.48461270357142855,0.48876410178571433
female district attorney,2,"['tt1175709', 'tt0882977']","['All Good Things', 'Snitch']",0.44556599999999996,0.9520982250000001
outtakes during end credits,2,"['tt4481514', 'tt4871980']","['The House', 'The Perfect Match']",0.28675839999999997,0.4081103125
chef,2,"['tt2980648', 'tt2503944']","['The Hundred-Foot Journey', 'Burnt']",0.5739223090909091,2.061848840909091
hypnotism,2,"['tt2091256', 'tt4504044']","['Captain Underpants: The First Epic Movie', 'The Prodigy']",1.2106689868421054,2.31464100877193
actress playing herself,2,"['tt3152624', 'tt1245492']","['Trainwreck', 'This is the End']",2.159939049107143,2.9932293745535716
mobster,2,"['tt1656190', 'tt1584131']","['Safe', 'The Last Godfather']",-0.7341428957485301,-0.36515603211216646
14 year old,2,"['tt6017942', 'tt1935179']","['Kin', 'Mud']",0.17480590000000007,0.7461283000000001
juvenile delinquent,2,"['tt1604171', 'tt4698684']","['Prom', 'Hunt for the Wilderpeople']",0.6742328874999998,4.4418055375
beating',2,"['tt3203528', 'tt4254584']","['No Good Deed', 'Kicks']",0.9977986409090909,1.0652068984848484
overbearing mother,2,"['tt1396484', 'tt4501454']","['It', 'The Meddler']",4.345063654464286,9.827269958928571
american remake of french film,2,"['tt0427152', 'tt0082111']","['Dinner for Schmucks', 'Compadres']",0.05047185507246377,0.8698008260869565
jumping from a car,2,"['tt2820852', 'tt2381249']","['Furious 7', 'Mission: Impossibleâ\x80\x94Rogue Nation']",0.5791070987719298,5.292835571578947
shipping container,2,"['tt3381008', 'tt2017038']","['The Brothers Grimsby', 'All is Lost']",-0.5334914521008404,0.021281487394958
15 year old,2,"['tt1232776', 'tt1440292']","['Fish Tank', 'Submarine']",-0.8145010087719298,1.192821561403509
female criminal,2,"['tt3748528', 'tt2024432']","['Rogue One: A Star Wars Story', 'Identity Thief']",2.2519707385714285,4.127922539999999
saving the world,2,"['tt0816692', 'tt3521164']","['Interstellar', 'Moana']",0.3989413406060606,3.144389322727273
rock concert,2,"['tt1727824', 'tt1946502']","['Bohemian Rhapsody', 'UglyDolls']",1.187445813131313,7.410059981818183
baseball bat,2,"['tt1086772', 'tt3401882']","['Blended', 'Fist Fight']",0.15808190666666666,1.2278476644444445
adolescent,2,"['tt1559547', 'tt0466893']","['Beautiful Creatures', 'Margaret']",-0.8037934414285715,-0.37491081142857136
guard,2,"['tt8080292', 'tt3450650']","['The Watch', 'Paul Blart: Mall Cop 2']",0.24771571052631577,1.026729004784689
girl wears panties,2,"['tt1183923', 'tt2690138']","['Welcome to the Rileys', 'The D Train']",-0.8807424833333334,-0.8534763833333333
mime,2,"['tt1792647', 'tt1769363']","['Cirque du Soleil: Worlds Away', 'The Giant Mechanical Man']",-0.7456338711111111,-0.4356338711111111
pompeii,2,"['tt2692250', 'tt1921064']","['Night at the Museum: Secret of the Tomb', 'Pompeii']",-0.407372201230315,1.0706740586122048
death of friend,2,"['tt2369135', 'tt4172430']","['Need for Speed', '13 Hours: The Secret Soldiers of Benghazi']",-0.14140336303030304,1.1650956621212123
brain capacity,2,"['tt2872732', 'tt1219289']","['Lucy', 'Limitless']",2.049757,7.599679033333333
crime family,2,"['tt1491044', 'tt5574490']","['The Iceman', 'Animal Kingdom']",-0.7791955428571429,0.1429284261904762
crime scene,2,"['tt2872718', 'tt1540133']","['Nightcrawler', 'The Guard']",1.351425362745098,3.7273026176470587
disposing of a dead body,2,"['tt4160708', 'tt3813310']","['Donâ\x80\x99t Breathe', 'Cop Car']",3.47434895,6.9630500500000005
nintendo wii,2,"['tt1680310', 'tt1571403']","['Harry Potter and the Deathly Hallows: Part II', 'Harry Potter and the Deathly Hallows: Part I']",1.7092989,8.2084989
regression therapy,2,"['tt3319920', 'tt4504044']","['Regression', 'The Prodigy']",0.23940022500000002,1.0447520166666666
navy,2,"['tt1253863', 'tt4003774']","['300: Rise of an Empire', 'Meet the Mormons']",0.9962955272727272,2.0158384363636364
divorcee,2,"['tt5719700', 'tt2390361']","['Home Again', 'Enough Said']",0.9976056333333334,1.8459030291666667
drug trafficking,2,"['tt7959026', 'tt4537896']","['The Mule', 'White Boy Rick']",0.43812461999999996,1.1410431433333332
flying through a thunderstorm,2,"['tt1483013', 'tt1093357']","['Oblivion', 'The Darkest Hour']",-0.3206236760057471,1.102407163362069
u.s. history,2,"['tt1616195', 'tt5804038']","['J. Edgar', 'I Am Not Your Negro']",3.0949027857142855,5.017358571428572
court,2,"['tt6000478', 'tt1832382']","['Roman J. Israel, Esq.', 'Jodaeiye Nader az Simin']",3.7084373181818173,14.561060443181818
meeting,2,"['tt1210166', 'tt4183692']","['Moneyball', 'Woodlawn']",0.3096740353846154,0.6669969269230769
sexual submissiveness,2,"['tt4465564', 'tt4477536']","['Fifty Shades Darker', 'Fifty Shades Freed']",0.9531069999999999,5.843173736363637
running,2,"['tt3881784', 'tt2097298']","['Stronger', 'McFarland, USA']",0.3784288656862746,0.4907965725490196
1980s',2,"['tt3385516', 'tt0087332']","['X-Men: Apocalypse', 'Ghostbusters']",-0.11770207966604246,1.319150822175406
disc jockey,2,"['tt2510894', 'tt1554091']","['Hotel Transylvania 2', 'A Better Life']",0.14858828749999997,2.0285894125
dinner',2,"['tt1179034', 'tt0887732']","['From Paris With Love', 'Elsa & Fred']",-0.7651034288461538,-0.4791514115384615
janitor,2,"['tt0435761', 'tt4082068']","['Toy Story 3', 'Dheepan']",0.051334144444444285,2.100218638333333
woman fights a man,2,"['tt3766354', 'tt1496025']","['The Equalizer 2', 'Underworld: Awakening']",0.1080357461038961,1.382279577922078
masseuse,2,"['tt0052618', 'tt2390361']","['Ben-Hur', 'Enough Said']",0.2359320105263158,1.0838123940789472
ulysses s. grant character,2,"['tt0443272', 'tt1075747']","['Lincoln', 'Jonah Hex']",0.5138031646481177,1.2199264234042553
class conflict,2,"['tt1535108', 'tt6133466']","['Elysium', 'The First Purge']",2.0603528592948717,5.446978776602565
cleavage',2,"['tt1375670', 'tt2406566']","['Grown Ups', 'Atomic Blonde']",0.9395733233333334,2.45391325
telepathy,2,"['tt1034415', 'tt1534085']","['Suspiria', 'Beyond the Black Rainbow']",-0.9122354727272728,-0.7984568977272728
parent,2,"['tt1870529', 'tt3276924']","[""Won't Back Down"", 'Heist']",-0.8574319497338853,-0.6620536200473093
illness,2,"['tt1164999', 'tt5462602']","['Biutiful', 'The Big Sick']",3.360121514285715,4.749964914285714
based on memoir,2,"['tt1226837', 'tt2980516']","['Beautiful Boy', 'The Theory of Everything']",0.3491465733333334,3.371551546666666
woman on top sex,2,"['tt1448755', 'tt1712170']","['Killer Elite', 'Alex Cross']",-0.4507013571428571,-0.026695971428571424
pablo escobar,2,"['tt3532216', 'tt2515030']","['American Made', 'Escobar: Paradise Lost']",-0.48082141176470583,0.4709179729411765
medium',2,"['tt0230600', 'tt1591095']","['The Darkness', 'Insidious']",18.347246750000004,33.652581958333336
iranian',2,"['tt1961175', 'tt1832382']","['American Assassin', 'Jodaeiye Nader az Simin']",3.7242533253968246,14.808499593253968
convent,2,"['tt2431286', 'tt2718492']","['Philomena', 'Ida']",1.3072222019230768,6.0654660128205125
16th century,2,"['tt0047478', 'tt1521197']","['The Magnificent Seven', 'Anonymous']",-0.3997789308080808,0.19047224242424243
butler,2,"['tt0082031', 'tt1327773']","['Arthur', ""Lee Daniels' The Butler""]",1.3568107125000002,2.547774254166667
bravery,2,"['tt1345836', 'tt1013860']","['The Dark Knight Rises', 'Dylan Dog: Dead of Night']",-0.1555381881818182,1.1240505777272727
worker,2,"['tt1206543', 'tt0058414']","['Out of the Furnace', 'Nothing But a Man']",-0.7137457045454545,-0.62048375
based on commercial,2,"['tt1634122', 'tt7334528']","['Johnny English Reborn', 'Uncle Drew']",0.2731286222222223,2.121758927777778
spring break,2,"['tt0464154', 'tt2101441']","['Piranha 3D', 'Spring Breakers']",0.9333276625,3.8578450999999996
memoir,2,"['tt1139328', 'tt0843358']","['The Ghost Writer', 'My Dog Tulip']",-0.4750675507936508,0.17226878888888889
screenwriter,2,"['tt0475290', 'tt1931533']","['Hail, Caesar!', 'Seven Psychopaths']",0.24008773653198656,1.6817430505050504
planning,2,"['tt1135084', 'tt1458175']","['Takers', 'The Next Three Days']",0.25473876666666667,1.2238579958333333
summer,2,"['tt1727388', 'tt1032817']","['The Way Way Back', 'Middle of Nowhere']",1.7422839999999997,2.277396
bartender,2,"['tt5439796', 'tt0808285']","['Logan Lucky', 'The Good Heart']",-0.5183039491833031,-0.19196370326678763
single set production,2,"['tt1462758', 'tt1258197']","['Buried', 'Test']",-0.6996963389429729,4.388258532387493
space travel',2,"['tt0816692', 'tt0088961']","['Interstellar', 'Creature']",-0.3750821393939394,1.074498106060606
giant spider,2,"['tt1170358', 'tt3731562']","['The Hobbit: The Desolation of Smaug', 'Kong: Skull Island']",-0.029069500810810812,2.4371446802702703
woman wrapped in a towel,2,"['tt2752758', 'tt1594562']","[""Devil's Due"", 'The Innkeepers']",0.1823683571428572,2.256220023809524
outcast,2,"['tt1623288', 'tt1303803']","['ParaNorman', 'Standing Ovation']",-0.4858252297619047,-0.05152013809523803
epidemic,2,"['tt1598778', 'tt1464580']","['Contagion', 'Stake Land']",-0.36536023333333334,0.2311985333333334
"""new year's eve""",2,"['tt1462900', 'tt1598822']","['Yi dai zong shi', 'New Yearâ\x80\x99s Eve']",0.13436227620565966,2.575174527600638
sorcery,2,"['tt3183660', 'tt1274300']","['Fantastic Beasts and Where to Find Them', 'The Tempest']",-0.34294705,1.2358453888888892
