,0,1,2,3,4,5,6,7,8,9
tt1228705,Iron Man 2,2010,PG-13,2h 4min,"['Action', 'Adventure', 'Sci-Fi']",7 May 2010,USA,7.0,,
tt1843866,Captain America: The Winter Soldier,2014,PG-13,2h 16min,"['Action', 'Adventure', 'Sci-Fi']",4 April 2014,USA,7.7,,
tt2103281,Dawn of the Planet of the Apes,2014,PG-13,2h 10min,"['Action', 'Adventure', 'Drama']",11 July 2014,USA,7.6,,
tt1735898,Snow White and the Huntsman,2012,PG-13,2h 7min,"['Action', 'Adventure', 'Drama']",1 June 2012,USA,6.1,,
m0000187,,,,,,,,,,
tt1964418,Tomorrowland,2015,PG,2h 10min,"['Action', 'Adventure', 'Family']",22 May 2015,USA,6.4,,
tt0437086,Alita: Battle Angel,2019,PG-13,2h 2min,"['Action', 'Adventure', 'Sci-Fi']",14 February 2019,USA,7.3,,
tt3741700,Godzilla: King of the Monsters,2019,PG-13,2h 12min,"['Action', 'Adventure', 'Fantasy']",31 May 2019,USA,6.0,,
tt2567026,Alice Through the Looking Glass,2016,PG,1h 53min,"['Adventure', 'Family', 'Fantasy']",27 May 2016,USA,6.2,,
tt0892791,Shrek Forever After,2010,PG,1h 33min,"['Animation', 'Adventure', 'Comedy']",21 May 2010,USA,6.3,,
tt1211837,Doctor Strange,2016,PG-13,1h 55min,"['Action', 'Adventure', 'Fantasy']",4 November 2016,USA,7.5,,
tt2245084,Big Hero 6,2014,PG,1h 42min,"['Animation', 'Action', 'Adventure']",7 November 2014,USA,7.8,,
tt0892769,How to Train Your Dragon,2010,PG,1h 38min,"['Animation', 'Action', 'Adventure']",26 March 2010,USA,8.1,,
tt1772341,Wreck-It Ralph,2012,PG,1h 41min,"['Animation', 'Adventure', 'Comedy']",2 November 2012,USA,7.7,,
tt0816692,Interstellar,2014,PG-13,2h 49min,"['Adventure', 'Drama', 'Sci-Fi']",7 November 2014,USA,8.6,,
